unitid,month,high_earning,post_scorecard,avg_index,n_keywords
101693,2014-12-01,0,0,-0.133236461978879,20
101693,2015-01-01,0,0,0.473249053902767,20
101693,2015-02-01,0,0,0.0209573712604896,20
101693,2015-03-01,0,0,-0.122294283520557,25
101693,2015-04-01,0,0,-0.285111506735474,20
101693,2015-05-01,0,0,-0.274152540252726,25
101693,2015-06-01,0,0,-0.779523658795332,20
101693,2015-07-01,0,0,-0.668398076651355,20
101693,2015-08-01,0,0,0.028543374390336,25
101693,2015-09-01,0,1,-0.0653491450281255,20
101693,2015-10-01,0,1,-0.253701019297088,20
101693,2015-11-01,0,1,-0.454956110709213,25
101693,2015-12-01,0,1,-0.808813661055903,20
101693,2016-01-01,0,1,-0.383837770757757,25
101693,2016-02-01,0,1,-0.669751936023357,20
101693,2016-03-01,0,1,-0.578471396138376,15
101709,2013-03-01,0,0,0.798180120032137,4
101709,2013-04-01,0,0,0.682160964415897,16
101709,2013-05-01,0,0,-0.144017419786488,16
101709,2013-06-01,0,0,-0.419384788681568,20
101709,2013-07-01,0,0,0.0564625035773121,16
101709,2013-08-01,0,0,0.900331348214258,16
101709,2013-09-01,0,0,0.904300287119214,20
